Month Landed,Port of Landing,Port NUTS 2 area,Port Nationality,Vessel Nationality,Length Group,Species,Species Group,Live weight (tonnes),Landed weight (tonnes),Value(£000s)
1,Aberdaran,West Wales and the Valleys,Wales,UK,10m&Under,Crabs,Shellfish,0.12,0.12,211.86
1,Aberdaran,West Wales and the Valleys,Wales,UK,10m&Under,Lobsters,Shellfish,0.01,0.01,152.70
1,Aberdeen,North Eastern Scotland,Scotland,UK,10m&Under,Crabs,Shellfish,2.25,2.25,5102.96
1,Aberdeen,North Eastern Scotland,Scotland,UK,10m&Under,Lobsters,Shellfish,0.01,0.01,134.76
1,Aberdeen,North Eastern Scotland,Scotland,UK,Over10m,Crabs,Shellfish,5.37,5.37,12187.63
1,Aberdeen,North Eastern Scotland,Scotland,UK,Over10m,Lobsters,Shellfish,0.05,0.05,949.05
1,Aberystwyth,West Wales and the Valleys,Wales,UK,10m&Under,Lobsters,Shellfish,0.00,0.00,8.40
1,Aberystwyth,West Wales and the Valleys,Wales,UK,10m&Under,Other Shellfish,Shellfish,0.07,0.07,1320.00
1,Aberystwyth,West Wales and the Valleys,Wales,UK,Over10m,Crabs,Shellfish,0.58,0.58,1571.32
1,Aberystwyth,West Wales and the Valleys,Wales,UK,Over10m,Lobsters,Shellfish,0.05,0.05,973.94
1,Aberystwyth,West Wales and the Valleys,Wales,UK,Over10m,Other Shellfish,Shellfish,0.13,0.13,2700.00
1,Aberystwyth,West Wales and the Valleys,Wales,UK,Over10m,Scallops,Shellfish,16.32,16.32,43745.41
1,Achiltibuie,Highlands and Islands,Scotland,UK,10m&Under,Crabs,Shellfish,0.68,0.68,1552.68
1,Achiltibuie,Highlands and Islands,Scotland,UK,10m&Under,Nephrops,Shellfish,1.43,1.43,8580.21
1,Achiltibuie,Highlands and Islands,Scotland,UK,Over10m,Crabs,Shellfish,0.95,0.95,2161.38
1,Achiltibuie,Highlands and Islands,Scotland,UK,Over10m,Nephrops,Shellfish,0.81,0.81,4852.49
1,Achiltibuie,Highlands and Islands,Scotland,UK,Over10m,Scallops,Shellfish,0.28,0.28,1100.00
1,Aldeburgh and Orford,East Anglia,England,UK,10m&Under,Bass,Demersal,0.01,0.01,141.69
1,Aldeburgh and Orford,East Anglia,England,UK,10m&Under,Crabs,Shellfish,0.04,0.04,85.36
1,Aldeburgh and Orford,East Anglia,England,UK,10m&Under,Lobsters,Shellfish,0.04,0.04,682.47
1,Aldeburgh and Orford,East Anglia,England,UK,10m&Under,Skates and Rays,Demersal,2.54,2.18,4412.88
1,Alderney,UK islands,Channel Islands,UK,Over10m,Crabs,Shellfish,2.46,2.46,6761.86
1,Alderney,UK islands,Channel Islands,UK,Over10m,Lobsters,Shellfish,0.26,0.26,5238.69
1,Alesund,Foreign,Norway,UK,Over10m,Horse Mackerel,Pelagic,111.57,111.57,89332.22
1,Alesund,Foreign,Norway,UK,Over10m,Mackerel,Pelagic,6388.31,6388.31,5874032.00
1,Alloa,Eastern Scotland,Scotland,UK,Over10m,Brill,Demersal,0.00,0.00,5.72
1,Alloa,Eastern Scotland,Scotland,UK,Over10m,Monks or Anglers,Demersal,0.01,0.01,19.90
1,Alloa,Eastern Scotland,Scotland,UK,Over10m,Nephrops,Shellfish,1.07,0.52,2949.93
1,Alloa,Eastern Scotland,Scotland,UK,Over10m,Plaice,Demersal,0.01,0.01,13.70
1,Alloa,Eastern Scotland,Scotland,UK,Over10m,Squid,Shellfish,0.00,0.00,4.03
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Brill,Demersal,0.00,0.00,2.31
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Cod,Demersal,0.14,0.12,180.42
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Crabs,Shellfish,9.98,9.98,12950.10
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Haddock,Demersal,0.03,0.03,55.36
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Halibut,Demersal,0.03,0.02,240.10
