Month Landed,Port of Landing,Port NUTS 2 area,Port Nationality,Vessel Nationality,Length Group,Species,Species Group,Live weight (tonnes),Landed weight (tonnes),Value(£000s)
1,Aberdaran,West Wales and the Valleys,Wales,UK,10m&Under,Bass,Demersal,0.00,0.00,0.03
1,Aberdaran,West Wales and the Valleys,Wales,UK,10m&Under,Cod,Demersal,0.00,0.00,0.00
1,Aberdaran,West Wales and the Valleys,Wales,UK,10m&Under,Crabs,Shellfish,0.03,0.03,0.06
1,Aberdaran,West Wales and the Valleys,Wales,UK,10m&Under,Lobsters,Shellfish,0.02,0.02,0.09
1,Aberdeen,North Eastern Scotland,Scotland,UK,10m&Under,Crabs,Shellfish,0.96,0.96,1.28
1,Aberdeen,North Eastern Scotland,Scotland,UK,Over10m,Crabs,Shellfish,3.92,3.92,5.14
1,Aberdeen,North Eastern Scotland,Scotland,UK,Over10m,Lobsters,Shellfish,0.02,0.02,0.37
1,Aberdeen,North Eastern Scotland,Scotland,UK,Over10m,Monks or Anglers,Demersal,0.06,0.02,0.12
1,Aberdeen,North Eastern Scotland,Scotland,UK,Over10m,Nephrops,Shellfish,7.15,5.95,36.75
1,Aberdeen,North Eastern Scotland,Scotland,UK,Over10m,Scallops,Shellfish,32.14,32.14,67.16
1,Aberdeen,North Eastern Scotland,Scotland,UK,Over10m,Squid,Shellfish,0.22,0.22,0.86
1,Aberdeen,North Eastern Scotland,Scotland,UK,Over10m,Witch,Demersal,0.02,0.02,0.04
1,Aberystwyth,West Wales and the Valleys,Wales,UK,10m&Under,Other Shellfish,Shellfish,0.09,0.09,1.74
1,Aberystwyth,West Wales and the Valleys,Wales,UK,10m&Under,Scallops,Shellfish,0.65,0.65,1.80
1,Aberystwyth,West Wales and the Valleys,Wales,UK,Over10m,Crabs,Shellfish,0.68,0.68,0.78
1,Aberystwyth,West Wales and the Valleys,Wales,UK,Over10m,Lobsters,Shellfish,0.06,0.06,0.82
1,Aberystwyth,West Wales and the Valleys,Wales,UK,Over10m,Other Shellfish,Shellfish,0.06,0.06,1.14
1,Aberystwyth,West Wales and the Valleys,Wales,UK,Over10m,Scallops,Shellfish,8.70,8.70,22.26
1,Achiltibuie,Highlands and Islands,Scotland,UK,10m&Under,Crabs,Shellfish,0.02,0.02,0.02
1,Achiltibuie,Highlands and Islands,Scotland,UK,10m&Under,Nephrops,Shellfish,0.41,0.41,4.56
1,Achiltibuie,Highlands and Islands,Scotland,UK,Over10m,Crabs,Shellfish,0.11,0.11,0.12
1,Achiltibuie,Highlands and Islands,Scotland,UK,Over10m,Nephrops,Shellfish,0.22,0.22,2.20
1,Achiltibuie,Highlands and Islands,Scotland,UK,Over10m,Scallops,Shellfish,0.79,0.79,3.17
1,Aldeburgh and Orford,East Anglia,England,UK,10m&Under,Brill,Demersal,0.00,0.00,0.01
1,Aldeburgh and Orford,East Anglia,England,UK,10m&Under,Cod,Demersal,0.23,0.20,0.57
1,Aldeburgh and Orford,East Anglia,England,UK,10m&Under,Crabs,Shellfish,0.05,0.05,0.10
1,Aldeburgh and Orford,East Anglia,England,UK,10m&Under,Lobsters,Shellfish,0.05,0.05,0.61
1,Aldeburgh and Orford,East Anglia,England,UK,10m&Under,Other Demersal,Demersal,0.02,0.02,0.06
1,Aldeburgh and Orford,East Anglia,England,UK,10m&Under,Skates and Rays,Demersal,0.08,0.07,0.15
1,Aldeburgh and Orford,East Anglia,England,UK,10m&Under,Sole,Demersal,0.15,0.14,0.82
1,Aldeburgh and Orford,East Anglia,England,UK,10m&Under,Whiting,Demersal,0.00,0.00,0.00
1,Alesund,Foreign,Norway,UK,Over10m,Mackerel,Pelagic,6526.90,6526.90,4539.29
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Cod,Demersal,1.62,1.39,1.53
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Crabs,Shellfish,14.18,14.18,16.40
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Haddock,Demersal,0.19,0.16,0.16
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Hake,Demersal,0.00,0.00,0.00
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Lemon Sole,Demersal,0.10,0.10,0.10
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Ling,Demersal,0.00,0.00,0.00
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Lobsters,Shellfish,1.13,1.13,19.08
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Monks or Anglers,Demersal,0.04,0.04,0.07
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Nephrops,Shellfish,3.99,3.68,17.20
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Plaice,Demersal,0.03,0.03,0.01
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Sole,Demersal,0.02,0.02,0.04
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Squid,Shellfish,0.04,0.04,0.07
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Whiting,Demersal,2.01,1.98,1.46
1,Amble,Northumberland and Tyne and Wear,England,UK,Over10m,Brill,Demersal,0.00,0.00,0.00
1,Amble,Northumberland and Tyne and Wear,England,UK,Over10m,Cod,Demersal,0.17,0.14,0.17
1,Amble,Northumberland and Tyne and Wear,England,UK,Over10m,Crabs,Shellfish,6.99,6.99,8.48
1,Amble,Northumberland and Tyne and Wear,England,UK,Over10m,Gurnard,Demersal,0.00,0.00,0.00
1,Amble,Northumberland and Tyne and Wear,England,UK,Over10m,Haddock,Demersal,0.03,0.02,0.02
1,Amble,Northumberland and Tyne and Wear,England,UK,Over10m,Hake,Demersal,0.02,0.02,0.02
1,Amble,Northumberland and Tyne and Wear,England,UK,Over10m,Lemon Sole,Demersal,0.03,0.03,0.03
1,Amble,Northumberland and Tyne and Wear,England,UK,Over10m,Ling,Demersal,0.00,0.00,0.00
1,Amble,Northumberland and Tyne and Wear,England,UK,Over10m,Lobsters,Shellfish,0.48,0.48,8.06
1,Amble,Northumberland and Tyne and Wear,England,UK,Over10m,Monks or Anglers,Demersal,0.20,0.16,0.37
