Month Landed,Port of Landing,Port NUTS 2 area,Port Nationality,Vessel Nationality,Length Group,Species,Species Group,Sum of Live weight (tonnes),Sum of Landed weight (tonnes),Sum of Value(£),
1,Aberdaran,West Wales and the Valleys,Wales,UK,10m&Under,Crabs,Shellfish,0.0993,0.0993,0.1986,
1,Aberdaran,West Wales and the Valleys,Wales,UK,10m&Under,Lobsters,Shellfish,0.0256,0.0256,0.494,
1,Aberdeen,North Eastern Scotland,Scotland,UK,10m&Under,Crabs,Shellfish,7.59,7.59,20.09114,
1,Aberdeen,North Eastern Scotland,Scotland,UK,10m&Under,Lobsters,Shellfish,0.3109,0.3109,6.66279,
1,Abersoch,West Wales and the Valleys,Wales,UK,10m&Under,Crabs,Shellfish,0.0064,0.0064,0.0128,
1,Abersoch,West Wales and the Valleys,Wales,UK,10m&Under,Lobsters,Shellfish,0.0097,0.0097,0.1898,
1,Aberystwyth,West Wales and the Valleys,Wales,UK,10m&Under,Crabs,Shellfish,0.0168,0.0168,0.042,
1,Aberystwyth,West Wales and the Valleys,Wales,UK,10m&Under,Lobsters,Shellfish,0.0055,0.0055,0.1086,
1,Aberystwyth,West Wales and the Valleys,Wales,UK,10m&Under,Other Shellfish,Shellfish,0.1608,0.1608,3.2862,
1,Aberystwyth,West Wales and the Valleys,Wales,UK,10m&Under,Scallops,Shellfish,6.022,6.022,12.06434,
1,Aberystwyth,West Wales and the Valleys,Wales,UK,Over10m,Crabs,Shellfish,0.7108,0.7108,1.77826,
1,Aberystwyth,West Wales and the Valleys,Wales,UK,Over10m,Lobsters,Shellfish,0.062,0.062,1.2335,
1,Aberystwyth,West Wales and the Valleys,Wales,UK,Over10m,Other Shellfish,Shellfish,0.111,0.111,2.52041,
1,Aberystwyth,West Wales and the Valleys,Wales,UK,Over10m,Scallops,Shellfish,11.6526,11.6526,24.35476,
1,Achiltibuie,Highlands and Islands,Scotland,UK,10m&Under,Crabs,Shellfish,0.13,0.13,0.25579,
1,Achiltibuie,Highlands and Islands,Scotland,UK,10m&Under,Nephrops,Shellfish,1.4609,1.4609,18.00209,
1,Achiltibuie,Highlands and Islands,Scotland,UK,Over10m,Crabs,Shellfish,0.2164,0.2164,0.3809,
1,Achiltibuie,Highlands and Islands,Scotland,UK,Over10m,Nephrops,Shellfish,0.4467,0.4467,4.49113,
1,Aith,Highlands and Islands,Scotland,UK,10m&Under,Crabs,Shellfish,0.02,0.02,0.0442,
1,Aith,Highlands and Islands,Scotland,UK,10m&Under,Lobsters,Shellfish,0.042,0.042,0.78204,
1,Aldeburgh and Orford,East Anglia,England,UK,10m&Under,Bass,Demersal,0.011,0.011,0.11,
1,Aldeburgh and Orford,East Anglia,England,UK,10m&Under,Skates and Rays,Demersal,1.4652,0.923,2.6992,
1,Aldeburgh and Orford,East Anglia,England,UK,10m&Under,Sole,Demersal,0.0832,0.08,0.16,
1,Alesund,Foreign,Norway,UK,Over10m,Mackerel,Pelagic,968.144,968.144,1064.38911,
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Brill,Demersal,0.0006,0.0005,0.00174,
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Cod,Demersal,0.4175,0.3681,0.47768,
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Crabs,Shellfish,9.4733,9.4733,21.32995,
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Haddock,Demersal,0.0024,0.002,0.00436,
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Lemon Sole,Demersal,0.0021,0.002,0.00229,
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Lobsters,Shellfish,1.906,1.906,38.88669,
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Monks or Anglers,Demersal,0.0164,0.0135,0.0363,
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Mullet,Demersal,0.0001,0.0001,0.00051,
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Nephrops,Shellfish,3.211,2.575,15.97873,
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Plaice,Demersal,0.0014,0.0014,0.00151,
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Sole,Demersal,0.0005,0.0005,0.0015,
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Squid,Shellfish,0.0113,0.0113,0.03399,
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Turbot,Demersal,0.0014,0.0013,0.00548,
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Whelks,Shellfish,0.1635,0.1635,0.19692,
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Whiting,Demersal,0.0004,0.0004,0.00041,
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Witch,Demersal,0.0003,0.0003,0.00044,
1,Amble,Northumberland and Tyne and Wear,England,UK,Over10m,Cod,Demersal,0.0877,0.075,0.1257,
1,Amble,Northumberland and Tyne and Wear,England,UK,Over10m,Crabs,Shellfish,8.3363,8.3363,15.69331,
1,Amble,Northumberland and Tyne and Wear,England,UK,Over10m,Haddock,Demersal,0.3012,0.258,0.276,
1,Amble,Northumberland and Tyne and Wear,England,UK,Over10m,Hake,Demersal,0.0066,0.006,0.006,
1,Amble,Northumberland and Tyne and Wear,England,UK,Over10m,Halibut,Demersal,0.0043,0.004,0.04132,
1,Amble,Northumberland and Tyne and Wear,England,UK,Over10m,Ling,Demersal,0.0051,0.0045,0.01165,
1,Amble,Northumberland and Tyne and Wear,England,UK,Over10m,Lobsters,Shellfish,0.3678,0.3678,7.58242,
1,Amble,Northumberland and Tyne and Wear,England,UK,Over10m,Monks or Anglers,Demersal,0.3263,0.267,0.8262,
1,Amble,Northumberland and Tyne and Wear,England,UK,Over10m,Mullet,Demersal,0.0809,0.0809,0.07207,
1,Amble,Northumberland and Tyne and Wear,England,UK,Over10m,Nephrops,Shellfish,19.0497,15.1041,67.23819,
1,Amble,Northumberland and Tyne and Wear,England,UK,Over10m,Other Demersal,Demersal,0.221,0.221,0.0824,
1,Amble,Northumberland and Tyne and Wear,England,UK,Over10m,Plaice,Demersal,0.0041,0.004,0.00367,
1,Amble,Northumberland and Tyne and Wear,England,UK,Over10m,Squid,Shellfish,0.1156,0.1156,0.22474,
1,Amlwch,West Wales and the Valleys,Wales,UK,10m&Under,Crabs,Shellfish,0.0295,0.0295,0.2925,
1,Amlwch,West Wales and the Valleys,Wales,UK,10m&Under,Lobsters,Shellfish,0.0567,0.0567,1.12155,
1,Amlwch,West Wales and the Valleys,Wales,UK,10m&Under,Other Shellfish,Shellfish,0.0594,0.0594,1.2918,
1,Amlwch,West Wales and the Valleys,Wales,UK,Over10m,Whelks,Shellfish,35.286,35.286,49.4004,
1,Annalong,Northern Ireland,Northern Ireland,UK,10m&Under,Crabs,Shellfish,1.005,1.005,1.507,
1,Annalong,Northern Ireland,Northern Ireland,UK,10m&Under,Lobsters,Shellfish,0.0106,0.0106,0.106,
1,Annalong,Northern Ireland,Northern Ireland,UK,10m&Under,Shrimps and Prawns,Shellfish,0.06,0.06,1.2,
1,Annalong,Northern Ireland,Northern Ireland,UK,Over10m,Crabs,Shellfish,0.781,0.781,1.562,
1,Annalong,Northern Ireland,Northern Ireland,UK,Over10m,Lobsters,Shellfish,0.083,0.083,2.075,
1,Annalong,Northern Ireland,Northern Ireland,UK,Over10m,Shrimps and Prawns,Shellfish,0.029,0.029,0.725,
1,Annalong,Northern Ireland,Northern Ireland,UK,Over10m,Whelks,Shellfish,0.135,0.135,0.2025,
1,Anstruther,Eastern Scotland,Scotland,UK,10m&Under,Crabs,Shellfish,0.51,0.51,1.4915,
1,Anstruther,Eastern Scotland,Scotland,UK,10m&Under,Lobsters,Shellfish,0.5243,0.5243,11.05178,
1,Applecross,Highlands and Islands,Scotland,UK,10m&Under,Crabs,Shellfish,1.03,1.03,3.0885,
1,Applecross,Highlands and Islands,Scotland,UK,10m&Under,Nephrops,Shellfish,0.0534,0.0534,0.7737,
1,Applecross,Highlands and Islands,Scotland,UK,Over10m,Nephrops,Shellfish,0.0234,0.0234,0.319,
1,Appledore,Devon,England,UK,10m&Under,Dogfish,Demersal,0.412,0.412,0.082,
1,Appledore,Devon,England,UK,10m&Under,Skates and Rays,Demersal,0,1.434,0.226,
1,Arbroath,Eastern Scotland,Scotland,UK,10m&Under,Crabs,Shellfish,17.1207,17.1207,49.4406,
1,Arbroath,Eastern Scotland,Scotland,UK,10m&Under,Lobsters,Shellfish,3.3649,3.3649,70.1071,
1,Arbroath,Eastern Scotland,Scotland,UK,Over10m,Crabs,Shellfish,2.0518,2.0518,4.87655,
1,Arbroath,Eastern Scotland,Scotland,UK,Over10m,Lobsters,Shellfish,0.2943,0.2943,6.37379,
1,Arbroath,Eastern Scotland,Scotland,UK,Over10m,Scallops,Shellfish,0.976,0.976,2.04868,
1,Ardentinny,Highlands and Islands,Scotland,UK,10m&Under,Nephrops,Shellfish,0.0095,0.0095,0.1246,
1,Ardentinny,Highlands and Islands,Scotland,UK,10m&Under,Whelks,Shellfish,0.117,0.117,0.1404,
1,Ardglass,Northern Ireland,Northern Ireland,Ireland,Over10m,Dogfish,Demersal,0.15,0.15,0.039,
1,Ardglass,Northern Ireland,Northern Ireland,Ireland,Over10m,Nephrops,Shellfish,6.3808,3.5268,15.9794,
1,Ardglass,Northern Ireland,Northern Ireland,UK,10m&Under,Crabs,Shellfish,2.83,2.83,5.22275,
1,Ardglass,Northern Ireland,Northern Ireland,UK,10m&Under,Lobsters,Shellfish,0.2512,0.2512,4.4545,
1,Ardglass,Northern Ireland,Northern Ireland,UK,10m&Under,Shrimps and Prawns,Shellfish,0.028,0.028,0.42,
1,Ardglass,Northern Ireland,Northern Ireland,UK,Over10m,Brill,Demersal,0.0783,0.072,0.36156,
1,Ardglass,Northern Ireland,Northern Ireland,UK,Over10m,Cod,Demersal,0.3088,0.2641,0.79813,
1,Ardglass,Northern Ireland,Northern Ireland,UK,Over10m,Dogfish,Demersal,22.3915,22.3915,5.99737,
1,Ardglass,Northern Ireland,Northern Ireland,UK,Over10m,Gurnard,Demersal,0.2863,0.2753,0.16318,
1,Ardglass,Northern Ireland,Northern Ireland,UK,Over10m,Haddock,Demersal,1.1968,1.0233,1.07479,
1,Ardglass,Northern Ireland,Northern Ireland,UK,Over10m,Hake,Demersal,0.0205,0.0186,0.05611,
1,Ardglass,Northern Ireland,Northern Ireland,UK,Over10m,Lemon Sole,Demersal,0.0394,0.0377,0.12843,
1,Ardglass,Northern Ireland,Northern Ireland,UK,Over10m,Ling,Demersal,0.0331,0.0289,0.04351,
1,Ardglass,Northern Ireland,Northern Ireland,UK,Over10m,Monks or Anglers,Demersal,1.7628,1.4452,3.27138,
1,Ardglass,Northern Ireland,Northern Ireland,UK,Over10m,Nephrops,Shellfish,58.6075,29.7531,139.30331,
1,Ardglass,Northern Ireland,Northern Ireland,UK,Over10m,Other Demersal,Demersal,0.0177,0.0157,0.03578,
1,Ardglass,Northern Ireland,Northern Ireland,UK,Over10m,Plaice,Demersal,0.5501,0.5246,0.39062,
1,Ardglass,Northern Ireland,Northern Ireland,UK,Over10m,Scallops,Shellfish,12.5094,12.5094,30.93958,
1,Ardglass,Northern Ireland,Northern Ireland,UK,Over10m,Skates and Rays,Demersal,0.4627,0.4097,0.34591,
1,Ardglass,Northern Ireland,Northern Ireland,UK,Over10m,Sole,Demersal,0.001,0.001,0.00595,
1,Ardglass,Northern Ireland,Northern Ireland,UK,Over10m,Squid,Shellfish,0.0533,0.0533,0.17359,
1,Ardglass,Northern Ireland,Northern Ireland,UK,Over10m,Turbot,Demersal,0.002,0.0019,0.02007,
1,Ardglass,Northern Ireland,Northern Ireland,UK,Over10m,Witch,Demersal,0.3222,0.3041,0.25838,
1,Ardnamurchan,Highlands and Islands,Scotland,UK,10m&Under,Crabs,Shellfish,0.05,0.05,0.123,
1,Ardnamurchan,Highlands and Islands,Scotland,UK,10m&Under,Lobsters,Shellfish,0.0025,0.0025,0.045,
1,Ardnamurchan,Highlands and Islands,Scotland,UK,10m&Under,Nephrops,Shellfish,0.214,0.214,2.58288,
1,Ardnamurchan,Highlands and Islands,Scotland,UK,10m&Under,Shrimps and Prawns,Shellfish,0.0115,0.0115,0.2875,
1,Ardrishaig,Highlands and Islands,Scotland,UK,10m&Under,Nephrops,Shellfish,0.09,0.09,1.45053,
1,Ardrossan,South Western Scotland,Scotland,UK,10m&Under,Crabs,Shellfish,0.1359,0.1359,0.3872,
1,Ardrossan,South Western Scotland,Scotland,UK,10m&Under,Other Shellfish,Shellfish,3.361,3.361,27.61544,
1,Ardrossan,South Western Scotland,Scotland,UK,Over10m,Nephrops,Shellfish,0.797,0.429,1.80954,
1,Arisaig,Highlands and Islands,Scotland,UK,10m&Under,Crabs,Shellfish,0.691,0.691,1.7215,
1,Arisaig,Highlands and Islands,Scotland,UK,10m&Under,Lobsters,Shellfish,0.0115,0.0115,0.213,
1,Arran,Highlands and Islands,Scotland,UK,10m&Under,Nephrops,Shellfish,0.0805,0.0805,0.878,
1,Avoch,Highlands and Islands,Scotland,UK,10m&Under,Whelks,Shellfish,6.8365,6.8365,8.54563,
1,Axmouth,Devon,England,UK,10m&Under,Bass,Demersal,0.0033,0.0033,0.03359,
1,Axmouth,Devon,England,UK,10m&Under,Brill,Demersal,0.0116,0.0109,0.11918,
1,Axmouth,Devon,England,UK,10m&Under,Cod,Demersal,0.0017,0.0015,0.006,
1,Axmouth,Devon,England,UK,10m&Under,Crabs,Shellfish,0.1735,0.0811,0.24358,
1,Axmouth,Devon,England,UK,10m&Under,Dogfish,Demersal,0.0035,0.0026,0.0052,
1,Axmouth,Devon,England,UK,10m&Under,Gurnard,Demersal,0.0097,0.0097,0.00826,
1,Axmouth,Devon,England,UK,10m&Under,Lobsters,Shellfish,0.0133,0.0133,0.23796,
1,Axmouth,Devon,England,UK,10m&Under,Mackerel,Pelagic,0.001,0.001,0.004,
1,Axmouth,Devon,England,UK,10m&Under,Monks or Anglers,Demersal,0.0099,0.0033,0.02627,
1,Axmouth,Devon,England,UK,10m&Under,Mullet,Demersal,0.023,0.023,0.0828,
1,Axmouth,Devon,England,UK,10m&Under,Other Demersal,Demersal,0.0012,0.0012,0.00294,
1,Axmouth,Devon,England,UK,10m&Under,Plaice,Demersal,0.0128,0.0123,0.02999,
1,Axmouth,Devon,England,UK,10m&Under,Pollack (Lythe),Demersal,0.0172,0.0148,0.04841,
1,Axmouth,Devon,England,UK,10m&Under,Scallops,Shellfish,0.1486,0.1486,0.434,
1,Axmouth,Devon,England,UK,10m&Under,Skates and Rays,Demersal,0.6052,0.3128,0.67714,
1,Axmouth,Devon,England,UK,10m&Under,Sole,Demersal,0.0825,0.0795,1.18578,
1,Axmouth,Devon,England,UK,10m&Under,Turbot,Demersal,0.0016,0.0015,0.01989,
1,Axmouth,Devon,England,UK,10m&Under,Whiting,Demersal,0.0195,0.0166,0.0285,
1,Back,Highlands and Islands,Scotland,UK,10m&Under,Crabs,Shellfish,0.379,0.379,0.96249,
1,Back,Highlands and Islands,Scotland,UK,10m&Under,Lobsters,Shellfish,0.008,0.008,0.16225,
1,Back,Highlands and Islands,Scotland,UK,10m&Under,Other Shellfish,Shellfish,0.75,0.75,8.39414,
1,Baile Mor (Iona),Highlands and Islands,Scotland,UK,10m&Under,Crabs,Shellfish,0.0013,0.0013,0.005,
1,Baile Mor (Iona),Highlands and Islands,Scotland,UK,10m&Under,Lobsters,Shellfish,0.0018,0.0018,0.036,
1,Baile Mor (Iona),Highlands and Islands,Scotland,UK,10m&Under,Pollack (Lythe),Demersal,0.001,0.0008,0.004,
1,Ballycastle,Northern Ireland,Northern Ireland,UK,Over10m,Crabs,Shellfish,1.3297,1.3297,2.05351,
1,Ballycastle,Northern Ireland,Northern Ireland,UK,Over10m,Lobsters,Shellfish,0.27,0.27,5.5386,
1,Ballydorn,Northern Ireland,Northern Ireland,UK,10m&Under,Nephrops,Shellfish,0.012,0.012,0.144,
1,Ballylumford,Northern Ireland,Northern Ireland,UK,10m&Under,Crabs,Shellfish,0.26,0.26,0.488,
1,Ballylumford,Northern Ireland,Northern Ireland,UK,10m&Under,Lobsters,Shellfish,0.187,0.187,2.7,
1,Ballywalter,Northern Ireland,Northern Ireland,UK,10m&Under,Crabs,Shellfish,1.604,1.604,3.325,
1,Ballywalter,Northern Ireland,Northern Ireland,UK,10m&Under,Lobsters,Shellfish,0.052,0.052,0.555,
1,Balvicar,Highlands and Islands,Scotland,UK,10m&Under,Nephrops,Shellfish,0.375,0.375,3.32849,
1,Balvicar,Highlands and Islands,Scotland,UK,Over10m,Nephrops,Shellfish,0.4553,0.4553,5.20478,
1,Bangor,West Wales and the Valleys,Wales,UK,Over10m,Scallops,Shellfish,35.094,35.094,74.10482,
1,Bangor (Co. Down),Northern Ireland,Northern Ireland,UK,10m&Under,Crabs,Shellfish,0.337,0.337,0.63,
1,Bangor (Co. Down),Northern Ireland,Northern Ireland,UK,10m&Under,Lobsters,Shellfish,0.0176,0.0176,0.245,
1,Bangor (Co. Down),Northern Ireland,Northern Ireland,UK,10m&Under,Scallops,Shellfish,0.217,0.217,0.56854,
1,Bangor (Co. Down),Northern Ireland,Northern Ireland,UK,Over10m,Crabs,Shellfish,1.1315,1.1315,1.6848,
1,Bangor (Co. Down),Northern Ireland,Northern Ireland,UK,Over10m,Scallops,Shellfish,28.5282,28.5282,71.36474,
1,Bangor (Co. Down),Northern Ireland,Northern Ireland,UK,Over10m,Whelks,Shellfish,4.808,4.808,6.5367,
1,Barra,Highlands and Islands,Scotland,UK,Over10m,Haddock,Demersal,0.1287,0.11,0.13201,
1,Barra,Highlands and Islands,Scotland,UK,Over10m,Hake,Demersal,0.0311,0.028,0.0252,
1,Barra,Highlands and Islands,Scotland,UK,Over10m,Megrim,Demersal,0.0254,0.024,0.0264,
1,Barra,Highlands and Islands,Scotland,UK,Over10m,Monks or Anglers,Demersal,0.0513,0.042,0.11759,
1,Barra,Highlands and Islands,Scotland,UK,Over10m,Nephrops,Shellfish,0.7829,0.4729,2.60607,
1,Barra,Highlands and Islands,Scotland,UK,Over10m,Skates and Rays,Demersal,0.4634,0.4101,0.36901,
1,Barra,Highlands and Islands,Scotland,UK,Over10m,Squid,Shellfish,0.0151,0.0151,0.024,
1,Barra,Highlands and Islands,Scotland,UK,Over10m,Witch,Demersal,0.0604,0.0569,0.0456,
1,Barrow,Cumbria,England,UK,10m&Under,Lobsters,Shellfish,0.0586,0.0586,1.0326,
1,Barrow,Cumbria,England,UK,10m&Under,Whelks,Shellfish,0.846,0.846,1.1844,
1,Beer,Devon,England,UK,10m&Under,Bass,Demersal,0.06,0.06,0.43626,
1,Beer,Devon,England,UK,10m&Under,Brill,Demersal,0.0022,0.0021,0.02793,
1,Beer,Devon,England,UK,10m&Under,Cod,Demersal,0.0127,0.0109,0.04562,
1,Beer,Devon,England,UK,10m&Under,Crabs,Shellfish,0.0701,0.0701,0.19365,
1,Beer,Devon,England,UK,10m&Under,Dogfish,Demersal,0.008,0.008,0.00382,
1,Beer,Devon,England,UK,10m&Under,Gurnard,Demersal,0.0085,0.0085,0.00293,
1,Beer,Devon,England,UK,10m&Under,Herring,Pelagic,0.0037,0.0037,0.00751,
1,Beer,Devon,England,UK,10m&Under,Lobsters,Shellfish,0.0643,0.0643,1.3876,
1,Beer,Devon,England,UK,10m&Under,Mackerel,Pelagic,0.0048,0.0048,0.00685,
1,Beer,Devon,England,UK,10m&Under,Monks or Anglers,Demersal,0.0021,0.0007,0.00734,
1,Beer,Devon,England,UK,10m&Under,Mullet,Demersal,0.0159,0.0159,0.05627,
1,Beer,Devon,England,UK,10m&Under,Other Demersal,Demersal,0.2359,0.2359,0.20281,
1,Beer,Devon,England,UK,10m&Under,Plaice,Demersal,0.0027,0.0027,0.00739,
1,Beer,Devon,England,UK,10m&Under,Pollack (Lythe),Demersal,0.0196,0.0169,0.05225,
1,Beer,Devon,England,UK,10m&Under,Skates and Rays,Demersal,0.2907,0.2383,0.37812,
1,Beer,Devon,England,UK,10m&Under,Sole,Demersal,0.0843,0.0812,1.25229,
1,Beer,Devon,England,UK,10m&Under,Turbot,Demersal,0.0123,0.0114,0.17747,
1,Beer,Devon,England,UK,10m&Under,Whiting,Demersal,0.0271,0.0231,0.04233,
1,Beesands,Devon,England,UK,10m&Under,Bass,Demersal,0.0518,0.0518,0.53805,
1,Beesands,Devon,England,UK,10m&Under,Bream,Demersal,0.0172,0.0172,0.11127,
1,Beesands,Devon,England,UK,10m&Under,Cod,Demersal,0.0011,0.001,0.00449,
1,Beesands,Devon,England,UK,10m&Under,Crabs,Shellfish,0.2039,0.2039,0.96965,
1,Beesands,Devon,England,UK,10m&Under,Lobsters,Shellfish,0.008,0.008,0.1608,
1,Beesands,Devon,England,UK,10m&Under,Monks or Anglers,Demersal,0.0594,0.0198,0.30128,
1,Beesands,Devon,England,UK,10m&Under,Mullet,Demersal,0.0089,0.0089,0.0383,
1,Beesands,Devon,England,UK,10m&Under,Other Demersal,Demersal,0.0123,0.011,0.00605,
1,Beesands,Devon,England,UK,10m&Under,Pollack (Lythe),Demersal,0.1019,0.0872,0.26808,
1,Beesands,Devon,England,UK,10m&Under,Skates and Rays,Demersal,2.2982,1.1358,4.15808,
1,Beesands,Devon,England,UK,10m&Under,Turbot,Demersal,0.0087,0.008,0.16048,
1,Belfast,Northern Ireland,Northern Ireland,UK,Over10m,Mackerel,Pelagic,683.22,683.22,758.37422,
1,BEMBRIDGE,Hampshire and Isle of Wight,England,UK,10m&Under,Bass,Demersal,0.1904,0.1904,2.24483,
1,BEMBRIDGE,Hampshire and Isle of Wight,England,UK,10m&Under,Bream,Demersal,0.0037,0.0037,0.01474,
1,BEMBRIDGE,Hampshire and Isle of Wight,England,UK,10m&Under,Brill,Demersal,0.0325,0.0301,0.2388,
1,BEMBRIDGE,Hampshire and Isle of Wight,England,UK,10m&Under,Cod,Demersal,0.0755,0.0655,0.25825,
1,BEMBRIDGE,Hampshire and Isle of Wight,England,UK,10m&Under,Crabs,Shellfish,0.0049,0.0049,0.01338,
1,BEMBRIDGE,Hampshire and Isle of Wight,England,UK,10m&Under,Lobsters,Shellfish,0.0068,0.0068,0.1273,
1,BEMBRIDGE,Hampshire and Isle of Wight,England,UK,10m&Under,Mullet,Demersal,0.003,0.003,0.01025,
1,BEMBRIDGE,Hampshire and Isle of Wight,England,UK,10m&Under,Other Shellfish,Shellfish,0.0286,0.0286,0.4898,
1,BEMBRIDGE,Hampshire and Isle of Wight,England,UK,10m&Under,Plaice,Demersal,0.0708,0.0677,0.18419,
1,BEMBRIDGE,Hampshire and Isle of Wight,England,UK,10m&Under,Pollack (Lythe),Demersal,0.0253,0.0219,0.05634,
1,BEMBRIDGE,Hampshire and Isle of Wight,England,UK,10m&Under,Skates and Rays,Demersal,0.4908,0.2351,0.52586,
1,BEMBRIDGE,Hampshire and Isle of Wight,England,UK,10m&Under,Sole,Demersal,0.097,0.0939,1.04914,
1,BEMBRIDGE,Hampshire and Isle of Wight,England,UK,10m&Under,Turbot,Demersal,0.0275,0.0256,0.2442,
1,BEMBRIDGE,Hampshire and Isle of Wight,England,UK,10m&Under,Whiting,Demersal,0.0116,0.01,0.02327,
1,BEMBRIDGE,Hampshire and Isle of Wight,England,UK,Over10m,Crabs,Shellfish,0.334,0.334,0.9352,
1,BEMBRIDGE,Hampshire and Isle of Wight,England,UK,Over10m,Lobsters,Shellfish,0.1308,0.1308,2.6111,
1,Benbecula,Highlands and Islands,Scotland,UK,10m&Under,Crabs,Shellfish,2.2705,2.2705,5.99209,
1,Benbecula,Highlands and Islands,Scotland,UK,10m&Under,Lobsters,Shellfish,0.0412,0.0412,0.84115,
1,Bernera (Lewis),Highlands and Islands,Scotland,UK,10m&Under,Crabs,Shellfish,0.266,0.266,0.69832,
1,Bernera (Lewis),Highlands and Islands,Scotland,UK,10m&Under,Lobsters,Shellfish,0.0443,0.0443,0.91386,
1,Bernera (N Uist),Highlands and Islands,Scotland,UK,10m&Under,Crabs,Shellfish,0.143,0.143,0.4136,
1,Bernera (N Uist),Highlands and Islands,Scotland,UK,10m&Under,Lobsters,Shellfish,0.0402,0.0402,0.804,
1,Berwick,Northumberland and Tyne and Wear,England,UK,10m&Under,Crabs,Shellfish,0.127,0.127,0.254,
1,Berwick,Northumberland and Tyne and Wear,England,UK,10m&Under,Lobsters,Shellfish,0.053,0.053,1.06,
1,Bideford,Devon,England,UK,10m&Under,Bass,Demersal,0.0075,0.0067,0.0603,
1,Bideford,Devon,England,UK,10m&Under,Brill,Demersal,0.0033,0.0031,0.02436,
1,Bideford,Devon,England,UK,10m&Under,Cod,Demersal,0.0944,0.0808,0.23164,
1,Bideford,Devon,England,UK,10m&Under,Dogfish,Demersal,0,0.0304,0.01824,
1,Bideford,Devon,England,UK,10m&Under,Haddock,Demersal,0.0577,0.0495,0.10596,
1,Bideford,Devon,England,UK,10m&Under,Hake,Demersal,0.0077,0.007,0.028,
1,Bideford,Devon,England,UK,10m&Under,Lemon Sole,Demersal,0.0025,0.0025,0.00705,
1,Bideford,Devon,England,UK,10m&Under,Ling,Demersal,0.0705,0.0619,0.10465,
1,Bideford,Devon,England,UK,10m&Under,Other Demersal,Demersal,1.5945,1.1996,1.44863,
1,Bideford,Devon,England,UK,10m&Under,Plaice,Demersal,0.0325,0.031,0.05593,
1,Bideford,Devon,England,UK,10m&Under,Pollack (Lythe),Demersal,1.5046,1.2861,4.3779,
1,Bideford,Devon,England,UK,10m&Under,Saithe,Demersal,0.0029,0.0025,0.00375,
1,Bideford,Devon,England,UK,10m&Under,Skates and Rays,Demersal,3.3048,1.5815,4.59665,
1,Bideford,Devon,England,UK,10m&Under,Sole,Demersal,0.0969,0.0933,1.21206,
1,Bideford,Devon,England,UK,10m&Under,Squid,Shellfish,0.0006,0.0006,0.0036,
1,Bideford,Devon,England,UK,10m&Under,Turbot,Demersal,0.1142,0.1049,1.18625,
1,Bideford,Devon,England,UK,10m&Under,Whiting,Demersal,0.0185,0.0158,0.02187,
1,Bideford,Devon,England,UK,Over10m,Brill,Demersal,0.003,0.0027,0.0168,
1,Bideford,Devon,England,UK,Over10m,Dogfish,Demersal,0.6649,0.6649,0.1624,
1,Bideford,Devon,England,UK,Over10m,Haddock,Demersal,0.0388,0.0332,0.09881,
1,Bideford,Devon,England,UK,Over10m,Hake,Demersal,0.0059,0.0053,0.01475,
1,Bideford,Devon,England,UK,Over10m,Other Demersal,Demersal,0.1137,0.1071,0.05317,
1,Bideford,Devon,England,UK,Over10m,Plaice,Demersal,0.1809,0.1724,0.27137,
1,Bideford,Devon,England,UK,Over10m,Pollack (Lythe),Demersal,0.0034,0.0029,0.01206,
1,Bideford,Devon,England,UK,Over10m,Skates and Rays,Demersal,3.5425,1.6948,5.33098,
1,Bideford,Devon,England,UK,Over10m,Sole,Demersal,0.011,0.0105,0.14445,
1,Bideford,Devon,England,UK,Over10m,Squid,Shellfish,0.0004,0.0004,0.003,
1,Bideford,Devon,England,UK,Over10m,Turbot,Demersal,0.0027,0.0025,0.02933,
1,Bideford,Devon,England,UK,Over10m,Whiting,Demersal,0.0035,0.0029,0.00377,
1,Blyth,Northumberland and Tyne and Wear,England,UK,10m&Under,Brill,Demersal,0.0525,0.0489,0.16949,
1,Blyth,Northumberland and Tyne and Wear,England,UK,10m&Under,Cod,Demersal,0.2268,0.1953,0.27062,
1,Blyth,Northumberland and Tyne and Wear,England,UK,10m&Under,Crabs,Shellfish,0.325,0.325,0.4885,
1,Blyth,Northumberland and Tyne and Wear,England,UK,10m&Under,Haddock,Demersal,0.0852,0.074,0.07089,
