Month Landed,Port of Landing,Port NUTS 2 area,Port Nationality,Vessel Nationality,Length Group,Species,Species Group,Live weight (tonnes),Landed weight (tonnes),Value(£000s)
1,Aberdaran,West Wales and the Valleys,Wales,UK,10m&Under,Bass,Demersal,0.01,0.01,87.56
1,Aberdaran,West Wales and the Valleys,Wales,UK,10m&Under,Crabs,Shellfish,0.01,0.01,39.00
1,Aberdaran,West Wales and the Valleys,Wales,UK,10m&Under,Lobsters,Shellfish,0.00,0.00,39.00
1,Aberdaran,West Wales and the Valleys,Wales,UK,10m&Under,Mullet,Demersal,0.02,0.02,44.14
1,Aberdaran,West Wales and the Valleys,Wales,UK,10m&Under,Pollack (Lythe),Demersal,0.00,0.00,2.46
1,Aberdeen,North Eastern Scotland,Scotland,UK,10m&Under,Crabs,Shellfish,4.29,4.29,4149.12
1,Aberdeen,North Eastern Scotland,Scotland,UK,10m&Under,Lobsters,Shellfish,0.20,0.20,3456.41
1,Aberdeen,North Eastern Scotland,Scotland,UK,Over10m,Crabs,Shellfish,7.41,7.41,9707.28
1,Aberdeen,North Eastern Scotland,Scotland,UK,Over10m,Lobsters,Shellfish,0.04,0.04,647.17
1,Aberdeen,North Eastern Scotland,Scotland,UK,Over10m,Scallops,Shellfish,8.43,8.43,25026.00
1,Abersoch,West Wales and the Valleys,Wales,UK,10m&Under,Scallops,Shellfish,0.77,0.77,2080.80
1,Aberystwyth,West Wales and the Valleys,Wales,UK,10m&Under,Bass,Demersal,0.06,0.06,504.10
1,Aberystwyth,West Wales and the Valleys,Wales,UK,10m&Under,Cod,Demersal,0.01,0.01,32.90
1,Aberystwyth,West Wales and the Valleys,Wales,UK,10m&Under,Crabs,Shellfish,0.04,0.04,69.30
1,Aberystwyth,West Wales and the Valleys,Wales,UK,10m&Under,Lobsters,Shellfish,0.01,0.01,192.00
1,Aberystwyth,West Wales and the Valleys,Wales,UK,10m&Under,Mullet,Demersal,0.01,0.01,24.20
1,Aberystwyth,West Wales and the Valleys,Wales,UK,10m&Under,Other Shellfish,Shellfish,0.26,0.26,5260.00
1,Aberystwyth,West Wales and the Valleys,Wales,UK,10m&Under,Scallops,Shellfish,4.08,4.08,11034.99
1,Aberystwyth,West Wales and the Valleys,Wales,UK,10m&Under,Sole,Demersal,0.00,0.00,6.05
1,Aberystwyth,West Wales and the Valleys,Wales,UK,10m&Under,Whelks,Shellfish,8.85,8.85,4674.00
1,Aberystwyth,West Wales and the Valleys,Wales,UK,Over10m,Crabs,Shellfish,1.95,1.95,2755.61
1,Aberystwyth,West Wales and the Valleys,Wales,UK,Over10m,Lobsters,Shellfish,0.11,0.11,1705.64
1,Aberystwyth,West Wales and the Valleys,Wales,UK,Over10m,Other Shellfish,Shellfish,0.31,0.31,6160.00
1,Aberystwyth,West Wales and the Valleys,Wales,UK,Over10m,Scallops,Shellfish,14.67,14.67,39535.87
1,Achiltibuie,Highlands and Islands,Scotland,UK,10m&Under,Crabs,Shellfish,0.11,0.11,175.15
1,Achiltibuie,Highlands and Islands,Scotland,UK,10m&Under,Nephrops,Shellfish,2.22,2.22,13911.55
1,Achiltibuie,Highlands and Islands,Scotland,UK,10m&Under,Scallops,Shellfish,0.25,0.25,657.50
1,Achiltibuie,Highlands and Islands,Scotland,UK,Over10m,Crabs,Shellfish,0.30,0.30,468.64
1,Achiltibuie,Highlands and Islands,Scotland,UK,Over10m,Nephrops,Shellfish,0.69,0.69,4329.18
1,Achiltibuie,Highlands and Islands,Scotland,UK,Over10m,Scallops,Shellfish,1.33,1.33,5328.00
1,Aldeburgh and Orford,East Anglia,England,UK,10m&Under,Bass,Demersal,0.04,0.04,380.00
1,Aldeburgh and Orford,East Anglia,England,UK,10m&Under,Crabs,Shellfish,0.10,0.10,190.00
1,Aldeburgh and Orford,East Anglia,England,UK,10m&Under,Lobsters,Shellfish,0.05,0.05,809.00
1,Aldeburgh and Orford,East Anglia,England,UK,10m&Under,Skates and Rays,Demersal,0.80,0.63,1447.00
1,Alesund,Foreign,Norway,UK,Over10m,Blue Whiting,Pelagic,1.33,1.33,0.98
1,Alesund,Foreign,Norway,UK,Over10m,Horse Mackerel,Pelagic,307.63,307.63,273072.63
1,Alesund,Foreign,Norway,UK,Over10m,Mackerel,Pelagic,9269.77,9269.77,8149642.00
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Bass,Demersal,0.00,0.00,5.40
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Cod,Demersal,0.45,0.39,850.60
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Crabs,Shellfish,21.46,21.46,26674.36
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Gurnard,Demersal,0.03,0.03,19.01
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Haddock,Demersal,0.12,0.10,109.88
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Hake,Demersal,0.01,0.01,9.27
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Halibut,Demersal,0.02,0.02,150.00
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Lemon Sole,Demersal,0.02,0.02,22.26
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Ling,Demersal,0.00,0.00,2.16
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Lobsters,Shellfish,2.09,2.09,35031.65
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Monks or Anglers,Demersal,0.10,0.08,140.75
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Mullet,Demersal,0.01,0.01,7.84
